Period,Sub_Period,Sum_forecast_1,Sum_forecast_2,Sum_forecast_3,total_forcast
2015,1,275166.977876432,231664.054194692,234409.195586845,741240.227657969
2015,2,263259.390199546,226874.277874883,224702.203453431,714835.87152786
2015,3,305746.85425692,263350.63733354,260045.621970894,829143.113561354
2015,4,298682.285123845,239437.40842046,252958.841223305,791078.53476761
2015,5,337110.984743925,276521.432771767,288420.447453156,902052.864968847
2015,6,342809.560365415,283950.856104403,294047.171927042,920807.588396861
2015,7,345051.476797678,288540.080628762,293619.332072829,927210.88949927
2015,8,312316.09086682,248300.196974909,255427.124775722,816043.412617451
2015,9,275621.928103805,219903.384717811,230019.994871374,725545.30769299
2015,10,271886.074158123,213192.284501466,223619.021177237,708697.379836825
2015,11,279776.973554341,225060.555708483,231180.965079463,736018.494342286
2015,12,272198.405181403,238067.443691744,231474.763989779,741740.612862926
