Store,Year,Sum_Dry_Grocery,Sum_Dairy,Sum_Frozen_Food,Sum_Meat,Sum_Produce,Sum_Floral,Sum_Deli,Sum_Bakery,Sum_General_Merchandise,Total_Sales,per_Dry_Grocery,per_sum_dairy,per_frozen_food,per_sum_meat,per_sum_produce,per_sum_floral,per_sum_deli,per_sum_bakery,per_general_merchandise,Cluster,Input_#2_Store,Address,City,State,Zip,Type
S0001,2015,10845787.65,2423389.38,1814872.88,2531382.34,2284388.7,159142.23,1023812.9,835599.06,1590570.68,24532758.72,44,10,7.39775294215261,10.3183762123594,9.31158507721222,0.648692761447417,4.17324815233825,3.40605420506088,6.48345625599501,2,S0001,1000 W El Norte Pkwy,Escondido,CA,92027,Existing
S0002,2015,7931072.94,1844188.83,1366677.52,1991807.66,1755293.15,128935.92,689786.42,514864.68,1111992.45,18024405.99,44,10,7.58237203910208,11.0506147115476,9.73842439508876,0.715340744496845,3.82695785027643,2.85648625694322,6.16937085536654,2,S0002,12419 Woodside Ave,Lakeside,CA,92040,Existing
S0003,2015,12741875.44,3095321.58,2087437.15,3468989.12,3792143.03,291259.69,1262874.27,1091930.44,2408831.27,31503536.26,40,10,6.62604074911557,11.0114277056718,12.0371979789928,0.924530146699156,4.00867464394297,3.46605673403853,7.64622501461364,1,S0003,1342 N Alvarado St,Los Angeles,CA,90026,Existing
S0004,2015,12688533.89,2710746.38,2240847.44,3565375.84,2802811.88,170822.64,1166388.77,962155.820000001,1606208.31,29080279.74,44,10,7.70572862446611,12.2604592248671,9.63818747639049,0.587417457903726,4.01092692514794,3.30861954768803,5.52335921236224,2,S0004,671 S Rancho Santa Fe Rd,San Marcos,CA,92078,Existing
S0005,2015,12248085.57,2957003.74,2402445.89,2834435.52,3648309.02,247017.36,984736.25,629055.94,1874796.88,28810622.42,42,10,8.33875039205071,9.83816135132287,12.6630690820042,0.857382934665527,3.41796242942814,2.18341669551477,6.50731127106278,1,S0005,1430 S Fairfax Ave,Los Angeles,CA,90019,Existing
S0006,2015,15921985.74,3414385.76,2577624.88,3702008.49,3524245.59,286180.46,1603464.11,1226324.72,2369201.12,36228884.98,44,10,7.11483359596346,10.2183892549927,9.72772303631631,0.789923455160115,4.42592729774926,3.3849364137952,6.53953639839567,2,S0006,9643 Mission Gorge Rd,Santee,CA,92071,Existing
S0007,2015,13644163.44,3152200.12,2752056.93,3553409,3192688.95,241915.18,1428888.69,931336.009999999,1966428.99,32291976,42,10,8.52241724074116,11.0039998791031,9.88694203786105,0.749149510082629,4.42490323292697,2.88410969338017,6.08952821592584,2,S0007,820 Arneill Rd,Camarillo,CA,93010,Existing
S0008,2015,12503176.41,3173008.04,2343931.3,3118893.04,3609692.16,229334.44,951990.47,653608.200000001,2598245.71,30133870.24,42,10,7.77839448212876,10.3501243456606,11.978853467048,0.761052059272423,3.15920411954359,2.16901511420327,8.62234319490451,3,S0008,3461 W 3rd St,Los Angeles,CA,90020,Existing
S0009,2015,17990212.13,4083162.02,3134343.14,4837013.88,4210541.86,296476.2,1798155.15,1047732.42,3280983.51,42476775.46,42,10,7.37895733858513,11.38743190277,9.91257414057955,0.697972472696731,4.23326660399,2.46660065095252,7.72418215476283,2,S0009,4033 W Avenue L,Lancaster,CA,93536,Existing
S0010,2015,9364058.9,2495117.23,1743731.4,2325539.02,2639823.51,225352.37,805192.95,825864.13,1279248.61,22509121.07,42,12,7.74677693801218,10.3315407685974,11.7277947094893,1.00116023766183,3.57718521081286,3.66901989389851,5.68324549866575,1,S0010,1040 Coast Village Rd,Montecito,CA,93108,Existing
